"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt41","gpt-4.1",3,"batch3",1,9.536,0.00897795799542524,0.00907673112913288,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",1,11.454,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",1,14.863,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",1,13.222,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",1,16.514,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",1,27.989,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",1,17.619,0.0182955569418452,0.00726762320648784,0.0476190476190476,0,0,2,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",1,13.218,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",1,23.054,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",2,7.178,0.0140465793304221,0.00642545227698066,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",2,10.012,0.0157309211894365,0.0114784778540237,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",2,13.569,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",2,13.498,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",2,17.698,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",2,22.918,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",2,9.98700000000002,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",2,20.647,0.0111405697650239,0.0155645664379289,0.0178571428571429,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",2,27.3030000000001,0.0206591807028488,0.0262632563942608,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",3,7.72300000000001,0.0199989602828031,0.00642545227698066,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",3,10.92,0.0216833021418174,0.0114784778540237,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",3,20.449,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",3,11.931,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
