"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt5","gpt-5.5",3,"batch3",1,57.536,0.0243605739238927,0.00879600748596382,0.0642857142857143,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",1,58.739,0.0558779884088839,0.0245477230193387,0.114795918367347,0.0282903238399661,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",1,57.003,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",1,59.623,0.0341294596441197,0.025857766687461,0.076530612244898,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",1,128.93,0.0184289873154502,0.00885839051777916,0.0464285714285714,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",1,68.966,0.0301577597061788,0.0262632563942608,0.0357142857142857,0.02849573700999,0,1,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",2,41.314,0.00901766451097007,0.00913911416094822,0.0178571428571429,5.673651481913e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",2,61.246,0.0154431087187093,0.0284154709918902,0.0178571428571429,5.671230709476e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",2,80.793,0.0207683510085257,0.00873362445414847,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",2,71.778,0.0206591807028488,0.0262632563942608,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",2,81.3720000000001,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",2,126.771,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch3",3,34.0890000000001,0.0219376984097237,0.00913911416094822,0.0178571428571429,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",3,60.88,0.0154843250150947,0.0281659388646288,0.0178571428571429,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",3,79.5479999999999,0.0357766687461011,0.00733000623830318,0.1,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",3,81.1020000000001,0.0464374832902593,0.0245165315034311,0.114795918367347,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",3,79.6610000000001,0.00897795799542524,0.00907673112913288,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",3,170.413,0.0094718236639634,0.0284154709918902,0,0,0,2,TRUE,FALSE
