"backend","model","policy","rep","n_key","n_num","keyvars","error"
"gpt41","gpt-4.1","open",1,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",1,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",1,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",2,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",2,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",2,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",3,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",3,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",3,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",4,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",4,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",4,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",5,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",5,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",5,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",6,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",6,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",6,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",7,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",7,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",7,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",8,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",8,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",8,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",9,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",9,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",9,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",10,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",10,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",10,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",11,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",11,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",11,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",12,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",12,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",12,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",13,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",13,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",13,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",14,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",14,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",14,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",15,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",15,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
